transaction_id,customer_id,branch_id,channel,transaction_type,amount,currency,timestamp,status
T5151,C1653,B0002,branch,withdrawal,133.68,EUR,2023-01-01 01:15:00,completed
T5152,C1181,B0003,branch,deposit,22.37,USD,2023-01-01 01:15:30,completed
T5153,C1332,B0005,web,withdrawal,83.26,EUR,2023-01-01 01:16:00,completed
T5154,C1863,B0009,ATM,deposit,6.65,EUR,2023-01-01 01:16:30,completed
T5155,C1910,B0002,branch,withdrawal,29.29,GBP,2023-01-01 01:17:00,completed
T5156,C1758,B0004,branch,deposit,3.46,GBP,2023-01-01 01:17:30,completed
T5157,C1180,B0000,branch,transfer,46213.62,EUR,2023-01-01 01:18:00,completed
T5158,C1350,B0009,ATM,transfer,17.36,USD,2023-01-01 01:18:30,completed
T5159,C1145,B0006,branch,payment,7.3,USD,2023-01-01 01:19:00,completed
T5160,C1631,B0001,ATM,withdrawal,24.21,GBP,2023-01-01 01:19:30,completed
T5161,C1675,B0005,ATM,transfer,51.44,GBP,2023-01-01 01:20:00,completed
T5162,C1339,B0002,mobile,payment,68.84,EUR,2023-01-01 01:20:30,completed
T5163,C1366,B0003,branch,payment,23.03,GBP,2023-01-01 01:21:00,completed
T5164,C1138,B0003,ATM,transfer,27.02,EUR,2023-01-01 01:21:30,completed
T5165,C1220,B0004,ATM,deposit,46.43,EUR,2023-01-01 01:22:00,pending
T5166,C1177,B0009,mobile,withdrawal,60.22,GBP,2023-01-01 01:22:30,completed
T5167,C1301,B0001,mobile,deposit,54.22,GBP,2023-01-01 01:23:00,pending
T5168,C1878,B0005,mobile,transfer,48.68,GBP,2023-01-01 01:23:30,completed
T5169,C1762,B0004,web,deposit,97.77,EUR,2023-01-01 01:24:00,completed
T5170,C1799,B0005,ATM,deposit,45.51,EUR,2023-01-01 01:24:30,completed
T5171,C1647,B0004,ATM,deposit,40.53,GBP,2023-01-01 01:25:00,completed
T5172,C1579,B0006,ATM,transfer,45.03,USD,2023-01-01 01:25:30,completed
T5173,C1111,B0004,mobile,transfer,25.81,GBP,2023-01-01 01:26:00,completed
T5174,C1686,B0007,web,withdrawal,80.67,GBP,2023-01-01 01:26:30,pending
T5175,C1014,B0001,ATM,deposit,109.59,EUR,2023-01-01 01:27:00,completed
T5176,C1900,B0005,web,transfer,22.29,EUR,2023-01-01 01:27:30,completed
T5177,C1251,B0005,ATM,transfer,113.82,USD,2023-01-01 01:28:00,completed
T5178,C1361,B0005,mobile,deposit,32.6,EUR,2023-01-01 01:28:30,completed
T5179,C1897,B0004,web,payment,38405.66,USD,2023-01-01 01:29:00,completed
T5180,C1593,B0003,branch,deposit,6.15,GBP,2023-01-01 01:29:30,completed
T5181,C1286,B0003,branch,withdrawal,14.32,GBP,2023-01-01 01:30:00,pending
T5182,C1061,B0008,branch,withdrawal,10.15,GBP,2023-01-01 01:30:30,completed
T5183,C1128,B0000,mobile,payment,80.68,USD,2023-01-01 01:31:00,pending
T5184,C1191,B0007,branch,payment,21.49,USD,2023-01-01 01:31:30,completed
T5185,C1430,B0007,branch,withdrawal,1.28,USD,2023-01-01 01:32:00,completed
T5186,C1580,B0006,mobile,withdrawal,14.17,GBP,2023-01-01 01:32:30,completed
T5187,C1412,B0002,web,deposit,148.06,USD,2023-01-01 01:33:00,completed
T5188,C1407,B0003,mobile,payment,22.71,USD,2023-01-01 01:33:30,completed
T5189,C1546,B0007,mobile,deposit,19.12,GBP,2023-01-01 01:34:00,completed
T5190,C1919,B0004,mobile,transfer,1.0,EUR,2023-01-01 01:34:30,completed
T5191,C1180,B0007,web,transfer,45.64,USD,2023-01-01 01:35:00,completed
T5192,C1053,B0004,branch,withdrawal,23.81,USD,2023-01-01 01:35:30,completed
T5193,C1925,B0004,mobile,payment,16.16,USD,2023-01-01 01:36:00,completed
T5194,C1298,B0003,mobile,deposit,36.62,USD,2023-01-01 01:36:30,completed
T5195,C1491,B0000,branch,withdrawal,37.73,GBP,2023-01-01 01:37:00,completed
T5196,C1756,B0008,branch,withdrawal,43.28,USD,2023-01-01 01:37:30,completed
T5197,C1927,B0001,ATM,payment,44.7,EUR,2023-01-01 01:38:00,completed
T5198,C1721,B0008,mobile,transfer,32.6,USD,2023-01-01 01:38:30,completed
T5199,C1310,B0007,branch,transfer,6.35,EUR,2023-01-01 01:39:00,completed
T5200,C1062,B0008,mobile,transfer,123.05,USD,2023-01-01 01:39:30,completed
