transaction_id,customer_id,branch_id,channel,transaction_type,amount,currency,timestamp,status
T5000,C1098,B0011,mobile,withdrawal,44.93,GBP,2018-01-01 00:41:00,completed
T5001,C1089,B0009,mobile,deposit,43.01,USD,2018-01-01 01:53:00,completed
T5002,C1023,B0001,web,deposit,43.44,USD,2018-01-01 02:30:00,completed
T5003,C1106,B0013,ATM,deposit,22.48,GBP,2018-01-01 03:12:00,completed
T5004,C1024,B0012,mobile,deposit,35.12,USD,2018-01-01 03:53:00,completed
T5005,C1105,B0001,mobile,withdrawal,116.16,USD,2018-01-01 04:51:00,completed
T5006,C1007,B0009,mobile,payment,76.0,USD,2018-01-01 06:14:00,denied
T5007,C1163,B0012,ATM,deposit,42485.0,USD,2018-01-01 07:12:00,completed
T5008,C1040,B0002,mobile,deposit,73.05,GBP,2018-01-01 07:41:00,pending
T5009,C1158,B0012,web,payment,22.15,USD,2018-01-01 09:06:00,completed
T5010,C1053,B0011,mobile,deposit,48828.39,GBP,2018-01-01 10:00:00,denied
T5011,C1092,B0014,web,payment,66.83,AUD,2018-01-01 11:10:00,completed
T5012,C1156,B0014,ATM,transfer,61.32,AUD,2018-01-01 12:04:00,completed
T5013,C1133,B0008,branch,transfer,27134.69,USD,2018-01-01 13:35:00,completed
T5014,C1168,B0008,branch,transfer,68.81,USD,2018-01-01 14:06:00,completed
T5015,C1041,B0004,mobile,transfer,52135.47,USD,2018-01-01 15:26:00,completed
T5016,C1085,B0009,ATM,transfer,1.0,USD,2018-01-01 16:27:00,completed
T5017,C1137,B0012,web,withdrawal,28.56,USD,2018-01-01 16:57:00,completed
T5018,C1057,B0012,ATM,withdrawal,49.63,USD,2018-01-01 18:43:00,completed
T5019,C1142,B0002,ATM,withdrawal,9.55,GBP,2018-01-01 19:01:00,completed
T5020,C1126,B0014,ATM,payment,5.23,AUD,2018-01-01 20:05:00,completed
T5021,C1083,B0010,mobile,payment,24.19,USD,2018-01-01 20:54:00,completed
T5022,C1147,B0008,web,payment,55.6,USD,2018-01-01 21:31:00,completed
T5023,C1117,B0013,ATM,withdrawal,17.21,GBP,2018-01-01 22:55:00,completed
T5024,C1086,B0013,web,withdrawal,105.68,,2018-01-02 00:22:00,pending
T5025,C1102,B0000,ATM,withdrawal,10.9,GBP,2018-01-02 01:01:00,completed
T5026,C1094,B0002,web,deposit,39.2,GBP,2018-01-02 01:29:00,completed
T5027,C1060,B0006,ATM,deposit,8.26,GBP,2018-01-02 03:16:00,completed
T5028,C1149,B0005,mobile,withdrawal,32.77,EUR,2018-01-02 03:40:00,completed
T5029,C1002,B0000,ATM,withdrawal,88196.25,GBP,2018-01-02 04:55:00,completed
T5030,C1120,B0000,ATM,payment,1.0,GBP,2018-01-02 06:15:00,completed
